eNB,TotCell Intervals,Context Drop Rate Den,Context Drop Rate Num,MaxNum VoIP Bear Per Cell,Context Drop NoDS1noEPC Rate Num,Context Drop NoDS1noEPC Rate Den,Context Drop NoDS1noEPC Rate,Data ERAB Drop Rate Num,Data ERAB Drop Rate Den,Data ERAB Drop Rate,Data ERAB Drop NoDS1noSGW Rate Num,Data ERAB Drop NoDS1noSGW Rate Den,Data ERAB Drop NoDS1noSGW Rate,RRC Connection Failure Rate Num,RRC Connection Failure Rate Den,RRC Connection Failure Rate,UE Context Setup Failure Rate Num,UE Context Setup Failure Rate Den,UE Context Setup Failure Rate,Data ERAB Setup Failure Rate Num,Data ERAB Setup Failure Rate Den,Data ERAB Setup Failure Rate,Ave RRC Connected Users Num,Ave RRC Connected Users Den,Ave RRC Connected Users,Max RRC Connected Users,DLBurst User TPUT Mbps Num,DLBurst User TPUT Mbps Den,DLBurst User TPUT Mbps,ULBurst User TPUT Mbps Num,ULBurst User TPUT Mbps Den,ULBurst User TPUT Mbps,Intra eNB Total HOFailure Rate Num,Intra eNB Total HOFailure Rate,Intra eNB Total HOFailure xIFLB Rate Num,Intra eNB Total HOFailure xIFLB Rate,X2 Total Handover Failure Rate Num,X2 Total Handover Failure Rate Den,X2 Total Handover Failure Rate,X2 Total Handover Failure 15 1 Rate Num,X2 Total Handover Failure 15 1 Rate Den,X2 Total Handover Failure 15 1 Rate,S1 interface Handover Failure Rate Num,VoLTE ERAB Setup Failure Rate Num,VoLTE ERAB Setup Failure Rate,VoLTE ERAB Drop Rate Num,VoLTE ERAB Drop Rate Den,VoLTE ERAB Drop Rate,VoLTE ERAB Drop NoDS1noPS Rate Num,VoLTE ERAB Drop NoDS1noPS Rate Den,VoLTE ERAB Drop NoDS1noPS Rate,VoLTE HO Failure Rate Num,VoLTE HO Failure Rate Den,AveNum VoIP Bear Per Cell Num,AveNum VoIP Bear Per Cell,Context Drop Rate
131041_COLLIN_CREEK,36,20089,21,0.82,13,20089,0.0006,39,38751,0.001,25.93889975,38751,0.0007,1,19511,0.0001,0,19327,0,2,38751,0.0001,210696,32400,6.5,146,22287952,3430884,6.5,1752200,1663422,1.05,0,0,0,0,3,395,0.0076,3,395,0.0076,0,0,0,0,16,0,0,16,0,2,31,44,0.01,0.001
131041_COLLIN_CREEK,36,20178,25,1.323333333,4,20178,0.0002,40,39216,0.001,3.209587847,39216,0.0001,0,19768,0,1,19458,0.0001,2,39216,0.0001,213239,32400,6.58,134,28987168,1733185,16.72,1143080,848545,1.35,0,0,0,0,2,278,0.0072,2,278,0.0072,0,0,0,0,9,0,0,9,0,0,31,35,0,0.0012
131041_COLLIN_CREEK,36,18100,22,1.077777778,10,18100,0.0006,40,35055,0.0011,20.99770335,35055,0.0006,1,17814,0.0001,1,17467,0.0001,1,35056,0,181021,32400,5.59,123,17992888,965570,18.63,643824,383884,1.68,0,0,0,0,3,194,0.0155,4,194,0.0206,0,0,0,0,6,0,0,6,0,0,18,15,0,0.0012
131041_COLLIN_CREEK,36,17422,10,0.79,2,17422,0.0001,19,33952,0.0006,4.072554385,33952,0.0001,2,17124,0.0001,1,16907,0.0001,4,33956,0.0001,172824,32400,5.33,108,11739112,496889,23.63,1105888,604231,1.83,0,0,0,0,0,182,0,0,182,0,0,0,0,0,10,0,0,10,0,0,18,17,0.01,0.0006
131041_COLLIN_CREEK,36,18008,1,0.871111111,0,18008,0,1,34916,0,0,34916,0,0,17594,0,0,17423,0,0,34916,0,176137,32400,5.44,118,7886416,445660,17.7,731904,435496,1.68,0,0,0,0,1,263,0.0038,1,263,0.0038,0,0,0,0,11,0,0,11,0,0,22,34,0.02,0.0001
131041_COLLIN_CREEK,36,22097,8,0.46,3,22097,0.0001,16,41644,0.0004,5.98074054,41644,0.0001,1,21066,0,1,20778,0,1,41643,0,207950,32400,6.42,138,16138736,921771,17.51,1010392,736030,1.37,1,0.0027,1,0.0027,1,712,0.0014,2,712,0.0028,0,0,0,0,16,0,0,16,0,0,31,59,0.02,0.0004
131041_COLLIN_CREEK,36,35093,79,2.317777778,58,35093,0.0017,157,63074,0.0025,116.858859,63074,0.0019,8,31576,0.0003,1,31235,0,2,63076,0,350392,32400,10.81,240,28084184,3755131,7.48,2851568,2108487,1.35,1,0.0011,1,0.0011,5,2605,0.0019,6,2605,0.0023,0,0,0,4,64,0.0625,4,64,0.0625,0,95,366,0.02,0.0023
131041_COLLIN_CREEK,36,57837,195,7.056666667,116,57837,0.002,383,100497,0.0038,232.4158902,100497,0.0023,22,50059,0.0004,2,49605,0,11,100508,0.0001,646976,32400,19.97,394,67873184,12431794,5.46,6460680,5530162,1.17,2,0.001,1,0.0006,9,5757,0.0016,21,5757,0.0036,0,0,0,10,194,0.0515,9,194,0.0464,9,191,929,0.02,0.0034
131041_COLLIN_CREEK,36,69636,253,9.372222222,168,69636,0.0024,483,121100,0.004,311.2789235,121100,0.0026,28,60104,0.0005,4,59562,0.0001,8,121106,0.0001,835158,32400,25.78,453,92083864,20190688,4.56,10992120,10496421,1.05,1,0.0004,2,0.0011,21,6954,0.003,39,6954,0.0056,0,0,0,14,318,0.044,11,318,0.0346,11,256,1194,0.01,0.0036
131041_COLLIN_CREEK,36,68935,166,6.583333333,78,68935,0.0011,265,122561,0.0022,89.14623214,122561,0.0007,37,61095,0.0006,6,60527,0.0001,11,122572,0.0001,823482,32400,25.42,450,79163032,13020431,6.08,10690048,7669494,1.39,1,0.0004,1,0.0006,6,5566,0.0011,19,5566,0.0034,0,2,0.005,7,376,0.0186,2,376,0.0053,9,247,1122,0.01,0.0024
